plan_name,"BS Bronze 60 HDHP PPO","BS Bronze 60 PPO","BS Silver 70 PPO","BS PERS Access+ HMO","BS PERS Gold PPO"
plan_url,https://apply.coveredca.com/static/lw-enrollment/anon/plan-details/health/jsAXtf4on1_vOitQNqpILHGR0oUlQWN3x8HlzJiFTiM/70285CA132000101?from=hs,https://apply.coveredca.com/static/lw-enrollment/anon/plan-details/health/jsAXtf4on1_vOitQNqpILHGR0oUlQWN3x8HlzJiFTiM/70285CA131000101?from=cart,https://apply.coveredca.com/static/lw-enrollment/anon/plan-details/health/jsAXtf4on1_vOitQNqpILHGR0oUlQWN3x8HlzJiFTiM/70285CA129000101?from=hs,https://www.blueshieldca.com/group/calpers/active-members/documents#tab-access-hmo-plan,https://www.blueshieldca.com/content/dam/bsca/en/premier-accounts/docs/calpers/CalPERS-2026-AccessHMO-SBC.pdf
premium,2306.29,2317.96,2861.94,3110.19,2660
deductible_individual,7200,5800,5200,0,1000
deductible_family,14400,11600,10400,0,2000
deductible_rx_individual,,450,50,0,
deductible_rx_family,,900,100,0,
oop_max_individual,7200,9800,9800,1500,3000
oop_max_family,14400,19600,19600,3000,6000
oop_max_rx_individual,,,,"8,650",2000
oop_max_rx_family,,,,17300,4000
oop_max_per_rx,,500,250,,
preventative_visit,0,0,0,0,0
preventative_visit_after_deductible,0,0,0,0,0
primary_care_visit,1,60,50,15,10
primary_care_visit_after_deductible,0,0,0,0,0
specialist_visit,1,1,90,30,35
specialist_visit_after_deductible,0,95,0,0,0
labs,1,50,50,0,0.2
labs_after_deductible,0,0,0,0,0
imaging,1,1,325,0,0.2
imaging_after_deductible,0,0.4,0,0,0
outpatient_services,1,1,0.3,0,0.2
outpatient_services_after_deductible,0,0.4,0,0,0
inpatient_services,1,1,1,0,0.2
inpatient_services_after_deductible,0,0.4,0.3,0,0
emergency_room,1,1,400,50,0.2
emergency_room_after_deductible,0,0.4,0,0,0
urgent_care,1,60,50,15,35
urgent_care_after_deductible,0,0,0,0,35
tier_1_generic_drugs,1,20,19,5,5
tier_1_generic_drugs_after_deductible,0,0,0,0,0
tier_2_preferred_brand_drugs,1,1,1,20,20
tier_2_preferred_brand_drugs_after_deductible,0,0.4,60,0,0
tier_3_non_preferred_brand_drugs,1,1,1,50,50
tier_3_non_preferred_brand_drugs_after_deductible,0,0.4,90,0,0
tier_4_specialty_drugs,1,1,1,30,
tier_4_specialty_drugs_after_deductible,0,0.4,0.2,0,
